,idno,agea,rlgdgr,polintr,sclmeet,happy,cntry,nwspol,pplfair,health,atchctr,aesfdrk,dscrgrp,pray,hhmmb,gndr,impdiffa,impfuna,impsafea,iphlppla,ipsucesa,enjlf,fltdpr,fltlnl,slprl,dosprt,cgtsmok,alcfreq,height,weighta,fnsdfml,cnfpplh,paccnt,emplrel,hincfel,uempla,actrolga,cptppola,trstprl,trstlgl,trstplc,trstplt,vote,stfeco,stfdem,stfedu
6588,57594,48.0,3.0,2.0,6.0,9.0,DE,60.0,5.0,2.0,8.0,2.0,0.0,6.0,4.0,0,5.0,4.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,5.0,3.0,170.0,77.0,4.0,4.0,0.0,1.0,1.0,0.0,3.0,4.0,7.0,7.0,5.0,5.0,1.0,6.0,6.0,7.0
6589,57605,40.0,5.0,3.0,5.0,1.0,DE,20.0,0.0,3.0,2.0,3.0,0.0,6.0,3.0,0,3.0,3.0,3.0,1.0,5.0,1.0,2.0,2.0,3.0,7.0,1.0,6.0,161.0,88.0,1.0,1.0,0.0,1.0,4.0,0.0,2.0,2.0,5.0,7.0,7.0,8.0,2.0,2.0,3.0,3.0
6590,57614,37.0,5.0,1.0,2.0,8.0,DE,10.0,5.0,1.0,5.0,2.0,0.0,6.0,4.0,1,5.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,5.0,180.0,105.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
6591,57630,23.0,8.0,3.0,6.0,8.0,DE,40.0,4.0,2.0,7.0,3.0,1.0,1.0,4.0,0,1.0,2.0,5.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,5.0,7.0,182.0,95.0,5.0,3.0,0.0,2.0,1.0,0.0,3.0,2.0,5.0,6.0,7.0,3.0,1.0,3.0,7.0,7.0
6592,57642,57.0,1.0,1.0,3.0,8.0,DE,210.0,8.0,4.0,8.0,2.0,0.0,6.0,2.0,0,2.0,3.0,3.0,2.0,5.0,3.0,2.0,2.0,4.0,0.0,1.0,1.0,166.0,65.0,5.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,10.0,8.0,8.0,7.0,1.0,5.0,10.0,3.0
6594,57679,22.0,4.0,2.0,7.0,8.0,DE,5.0,6.0,3.0,7.0,1.0,0.0,6.0,6.0,1,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,7.0,3.0,2.0,180.0,71.0,5.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,7.0,7.0,4.0,1.0,1.0,2.0,3.0
6596,57744,73.0,3.0,1.0,4.0,10.0,DE,30.0,4.0,1.0,4.0,1.0,0.0,6.0,2.0,0,3.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,7.0,6.0,7.0,162.0,63.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,1.0,0.0
6598,57772,75.0,5.0,2.0,3.0,9.0,DE,60.0,7.0,2.0,10.0,2.0,0.0,1.0,2.0,0,4.0,5.0,2.0,1.0,5.0,3.0,1.0,1.0,2.0,6.0,6.0,1.0,159.0,60.0,3.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,6.0,9.0,9.0,8.0,1.0,7.0,8.0,5.0
6599,57783,35.0,0.0,3.0,4.0,5.0,DE,1049.0,5.0,3.0,2.0,3.0,0.0,7.0,2.0,0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,7.0,1.0,5.0,178.0,73.0,5.0,3.0,1.0,1.0,3.0,0.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,0.0,4.0
6600,57785,50.0,9.0,1.0,4.0,8.0,DE,760.0,8.0,1.0,7.0,1.0,0.0,1.0,5.0,0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,4.0,159.0,66.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,7.0,8.0,8.0,5.0,1.0,4.0,7.0,3.0
